sl_no,satellite_name,launch_date,launch_vehicle,orbit,application,remarks,Year,Month,Rocket Family,Mission
130,NISAR(NASA-ISRO),2025-07-30,GSLV-F16/NISAR Mission,SSO (Sun Synchronous Orbit),Earth Observation(Radar),Launch successful,2025,Jul,GSLV-F16/NISAR,NISAR
129,EOS-09,2025-05-18,PSLV-C61/EOS-09 Mission,SSO (Sun Synchronous Orbit),Earth Observation,Launch successful,2025,May,PSLV-C61/EOS-09,EOS-09
128,NVS-02(NavIC Series),2025-01-29,GSLV-F15/NVS-02 Mission,GTO (Geosynchronous Transfer Orbit),Navigation,Launch successful,2025,Jan,GSLV-F15/NVS-02,NVS-02
127,"SPADEX, POEM-4",2025-12-30,"PSLV-C60,SPADEX,POEM-4 Mission",LEO (Low Earth Orbit),In-orbit Docking Experiment,Launch successful,2025,Dec,"PSLV-C60,SPADEX,POEM-4","PSLV-C60,SPADEX,POEM-4"
126,Proba-3 (ESA),2024-12-05,PSLV-C59/Proba-3 Mission,HEO(High Elliptical Orbit),Formation Flying(Technology Demonstration),Launch successful,2024,Dec,PSLV-C59/Proba-3,Proba-3
125,Aditya-L1,2023-09-02,PSLV-C57/Aditya-L1 Mission,Lunar,Planetary Observation,Launch successful,2023,Sep,PSLV-C57/Aditya-L1,Aditya-L1
124,Chandrayaan-3,2023-07-14,LVM3 M4 / Chandrayaan-3 Mission,Lunar,Planetary Observation,Launch successful,2023,Jul,LVM3, Chandrayaan-3
123,NVS-01,2023-05-29,GSLV-F12/NVS-01 Mission,Unknown,Navigation,Launch successful,2023,May,GSLV-F12/NVS-01,NVS-01
122,EOS-07,2023-02-10,SSLV-D2/EOS-07 Mission,Unknown,Earth Observation,Launch successful,2023,Feb,SSLV-D2/EOS-07,EOS-07
121,Thybolt,2022-11-26,PSLV-C54/EOS-06 Mission,Unknown,Earth Observation,Launch successful,2022,Nov,PSLV-C54/EOS-06,EOS-06
120,Thybolt,2022-11-26,PSLV-C54/EOS-06 Mission,Unknown,Earth Observation,Launch successful,2022,Nov,PSLV-C54/EOS-06,EOS-06
119,Anand,2022-11-26,PSLV-C54/EOS-06 Mission,Unknown,Earth Observation,Launch successful,2022,Nov,PSLV-C54/EOS-06,EOS-06
118,INS-2B,2022-11-26,PSLV-C54/EOS-06 Mission,Unknown,Earth Observation,Launch successful,2022,Nov,PSLV-C54/EOS-06,EOS-06
117,EOS-06,2022-11-26,PSLV-C54/EOS-06 Mission,Unknown,Earth Observation,Launch successful,2022,Nov,PSLV-C54/EOS-06,EOS-06
116,EOS-02,2022-08-07,SSLV-D1/EOS-02 Mission,Unknown,Earth Observation,Launch successful,2022,Aug,SSLV-D1/EOS-02,EOS-02
115,GSAT-24,2022-06-23,Ariane-V(VS257),GSO (Geosynchronous Orbit),Communication,Launch successful,2022,Jun,Ariane-V(VS257),Ariane-V(VS257)
114,INS-2TD,2022-02-14,PSLV-C52/EOS-04 Mission,Unknown,Experimental,Launch successful,2022,Feb,PSLV-C52/EOS-04,EOS-04
113,EOS-04,2022-02-14,PSLV-C52/EOS-04 Mission,Unknown,Earth Observation,Launch successful,2022,Feb,PSLV-C52/EOS-04,EOS-04
