Entity1,Relation,Entity2
GSAT-15,used_for,"Communication, Navigation"
GSLV-D5/GSAT-14,rocket_family,GSLV
CMS-01,used_for,Communication
CARTOSAT-2B,used_for,Earth Observation
INSAT-3B,orbit_type,GSO (Geosynchronous Orbit)
Rohini Satellite RS-D2,orbit_type,LEO (Low Earth Orbit)
IRS-P2,used_for,Earth Observation
INSAT-3E,used_for,Communication
RISAT-1,launch_on,2012-04-26
GSAT-7,launched_by,Ariane-5 VA-215
GSAT-19,launched_by,GSLV Mk III-D1/GSAT-19 Mission
INSAT-3C,launched_by,Ariane5-V147
GSAT-16,launch_on,2014-12-07
EOS-03,orbit_type,GTO (Geosynchronous Transfer Orbit)
RISAT-2,launch_on,2009-04-20
RESOURCESAT-2,launch_on,2011-04-20
CARTOSAT-2 Series Satellite,launched_by,PSLV-C34 / CARTOSAT-2 Series Satellite
SSLV-D2/EOS-07 Mission,rocket_family,SSLV
GSAT-31,orbit_type,GTO (Geosynchronous Transfer Orbit)
NVS-01,launch_on,2023-05-29
SARAL,used_for,"Climate & Environment, Earth Observation"
INSAT-4C,launch_on,2006-07-10
RISAT-2,used_for,Earth Observation
IRNSS-1H,used_for,Navigation
INSAT-3E,launched_by,Ariane5-V162
KALPANA-1,launch_on,2002-09-12
Thybolt,launched_by,PSLV-C54/EOS-06 Mission
EOS-07,launched_by,SSLV-D2/EOS-07 Mission
EOS-01,launch_on,2020-11-07
RISAT-2,orbit_type,SSPO (Sun Synchronous Polar Orbit)
INSAT-4A,orbit_type,GSO (Geosynchronous Orbit)
INSAT-4CR,launched_by,GSLV-F04 / INSAT-4CR
Thybolt,launch_on,2022-11-26
IRNSS-1A,launched_by,PSLV-C22/IRNSS-1A
Microsat-R,used_for,Unknown
IRNSS-1C,launch_on,2014-10-16
"SPADEX, POEM-4",launched_by,"PSLV-C60,SPADEX,POEM-4 Mission"
IRS-1C,launched_by,Molniya
GSAT-12,launch_on,2011-07-15
PSLV-C39/IRNSS-1H Mission,rocket_family,PSLV
IRNSS-1D,orbit_type,GSO (Geosynchronous Orbit)
IRNSS-1F,used_for,Navigation
CARTOSAT  2A,launch_on,2008-04-28
Vostok,rocket_family,Vostok
INSAT-4B,used_for,Communication
YOUTHSAT,launch_on,2011-04-20
Crew module Atmospheric Re-entry Experiment (CARE),used_for,Experimental
INS-1C,launched_by,PSLV-C40/Cartosat-2 Series Satellite Mission
Oceansat(IRS-P4),launch_on,1999-05-26
INSAT-2C,orbit_type,GSO (Geosynchronous Orbit)
EOS-04,used_for,Earth Observation
Anand,launch_on,2022-11-26
IRS-1D,used_for,Earth Observation
GSAT-1 7,launch_on,2017-06-29
GSAT-29,launched_by,GSLV Mk III-D2 / GSAT-29 Mission
GSAT-1,launch_on,2001-04-18
SROSS-C,orbit_type,Unknown
PSLV-C46 Mission,rocket_family,PSLV
KALPANA-1,launched_by,PSLV-C4 /KALPANA-1
IRS-1D,orbit_type,SSPO (Sun Synchronous Polar Orbit)
GSAT-5P,orbit_type,GSO (Geosynchronous Orbit)
PSLV-C25,rocket_family,PSLV
SROSS-C,used_for,Experimental
GSAT-9,orbit_type,GSO (Geosynchronous Orbit)
HysIS,launch_on,2018-11-29
EOS-07,launch_on,2023-02-10
Ariane5,rocket_family,Ariane5
INSAT-4C,used_for,Communication
Chandrayaan-3,orbit_type,Lunar
PSLV-C43 / HysIS Mission,rocket_family,PSLV
Rohini Satellite RS-D1,orbit_type,LEO (Low Earth Orbit)
CARTOSAT-1,launch_on,2005-05-05
PSLV-C47 / Cartosat-3 Mission,rocket_family,PSLV
SRE-1,launch_on,2007-01-10
GSAT-15,launch_on,2015-11-11
APPLE,orbit_type,GSO (Geosynchronous Orbit)
INSAT-2D,launched_by,Ariane-44L H10-3
Chandrayaan2,orbit_type,Lunar
GSAT-7A,launch_on,2018-12-19
INSAT-4B,launched_by,Ariane5
Rohini Satellite RS-D1,launched_by,SLV-3D1
CARTOSAT-1,launched_by,PSLV-C6/CARTOSAT-1/HAMSAT
IMS-1,launch_on,2008-04-28
CARTOSAT-2,orbit_type,SSPO (Sun Synchronous Polar Orbit)
"SPADEX, POEM-4",orbit_type,LEO (Low Earth Orbit)
Rohini Satellite RS-1,orbit_type,Unknown
PSLV-C61/EOS-09 Mission,rocket_family,PSLV
GSAT-11 Mission,launched_by,Ariane-5 VA-246
INSAT-2D,used_for,Communication
Rohini Satellite RS-1,launch_on,1980-07-18
Bhaskara-I,used_for,"Earth Observation, Experimental"
GSAT-29,orbit_type,GTO (Geosynchronous Transfer Orbit)
PSLV-C49/EOS-01,rocket_family,PSLV
PSLV-C7 / CARTOSAT-2 / SRE-1,rocket_family,PSLV
Ariane-5 VA-251,rocket_family,Ariane
Crew module Atmospheric Re-entry Experiment (CARE),orbit_type,Unknown
SARAL,launch_on,2013-02-25
PSLV-C48/RISAT-2BR1,rocket_family,PSLV
PSLV-C52/EOS-04 Mission,rocket_family,PSLV
EMISAT,launch_on,2019-04-01
GSAT-24,used_for,Communication
GSAT-10,orbit_type,GEO
INS-2TD,launched_by,PSLV-C52/EOS-04 Mission
